,tweets,id,len,date,source,likes,retweets,sentiment
0,The Bright Side of Fall Fashion https://t.co/PE8uN30KWr,1194478310446776321,55,2019-11-13 04:53:16,SocialFlow,7,1,1
1,"20 of Lady Gaga's Best, Most Important Songs https://t.co/Atdr0Newc3",1194473004471848961,68,2019-11-13 04:32:11,SocialFlow,46,9,1
2,Everything We Know About the #BlackWidow Prequel Starring Scarlett Johansson https://t.co/ym1FurhMJg,1194467930412605441,100,2019-11-13 04:12:01,SocialFlow,45,10,0
3,All The Trends You’ll Be Wearing Next Spring https://t.co/WFa74kapn1,1194463179931312128,68,2019-11-13 03:53:08,SocialFlow,21,4,0
4,9 Pairs of Luxury Sneakers That Are Well Worth the Money https://t.co/HeStEO4tKL,1194458383195279360,80,2019-11-13 03:34:05,SocialFlow,33,6,1
5,Rihanna on Being 'Happy' Dating Hassan Jameel and Why She Turned Down the Super Bowl Halftime Show https://t.co/uxkpJf5eh8,1194452963051397120,122,2019-11-13 03:12:32,SocialFlow,32,6,1
6,HBO Cancels Game Of Thrones Prequel Starring Naomi Watts https://t.co/FLKuCIgPO3,1194447285696028672,80,2019-11-13 02:49:59,SocialFlow,16,6,-1
7,7 Must-Know Makeup Tips for People with Sensitive Skin https://t.co/juEAkaWvnF,1194441846233149442,78,2019-11-13 02:28:22,SocialFlow,7,1,1
8,18 Non-Basic Nail Colors To Wear This Winter https://t.co/Vjsaa0PYgP,1194437165834493952,68,2019-11-13 02:09:46,SocialFlow,19,3,0
9,"The 10 Best Clear Lip Glosses to Own, According to a Lip Gloss Addict https://t.co/BeRgIUdfMV",1194432448580538369,93,2019-11-13 01:51:01,SocialFlow,11,2,1
10,Rep. Maxine Waters Deletes All of Facebook with One Look https://t.co/zeeQ2myhGG,1194428607348838401,80,2019-11-13 01:35:46,SocialFlow,22,2,0
11,10 Non-Basic Ways to Wear a Denim Jacket https://t.co/jXvxEnNsme,1194423901759127552,64,2019-11-13 01:17:04,SocialFlow,18,2,0
12,26 Movies Guaranteed to Make You Cry Every Time https://t.co/f7oRu4tNyL,1194418653812469760,71,2019-11-13 00:56:12,SocialFlow,32,5,0
13,4 Looks That Get Us Excited for Boot Season https://t.co/j5RZePT1vV,1194412847129939969,67,2019-11-13 00:33:08,SocialFlow,26,10,1
14,The Best Bra Brands for Women With Large Cup Sizes https://t.co/3VCmfYujlY,1194408255017115648,74,2019-11-13 00:14:53,SocialFlow,23,4,1
15,Shawn Mendes Let Slip How Long He's Really Been Dating Camila Cabello https://t.co/X9oidV4BXM,1194403708978835456,93,2019-11-12 23:56:49,SocialFlow,63,11,1
16,"Justin Bieber Posted Photos of Inside His and Hailey Baldwin's House, Then Proclaimed 'I Wanna Sell It' https://t.co/bY1KqrZDsZ",1194398308640395266,127,2019-11-12 23:35:22,SocialFlow,27,6,0
17,Go behind-the-scenes with ELLE and Winnie Harlow. https://t.co/2HkSRh1MjS,1194394441169002497,73,2019-11-12 23:20:00,Twitter Media Studio,18,0,-1
18,Here is how to work off some of that thanksgiving turkey. https://t.co/PW12FFAN9y,1194393686278172672,81,2019-11-12 23:17:00,Twitter Media Studio,10,2,0
19,Kylie Jenner Gave Ariana Grande Permission to Sample 'Rise and Shine' on One Condition https://t.co/XCpS7OD2rI,1194392446794452995,110,2019-11-12 23:12:04,SocialFlow,63,9,0
20,"Noah Centineo Shaved Off All His Hair, and Twitter Is Not Happy https://t.co/0dYt1JVdkL",1194388346992287749,87,2019-11-12 22:55:47,SocialFlow,10,4,-1
21,How One ELLE Editor Styles Tights for Fall https://t.co/NxK1VoeJfh,1194383466344984577,66,2019-11-12 22:36:23,SocialFlow,19,5,0
22,Why Kylie Jenner And Travis Scott Are Spending More Time Together Despite Being Broken Up https://t.co/KKkcDzDSbj,1194378501287284736,113,2019-11-12 22:16:39,SocialFlow,31,4,1
23,ALERT: Here are puppies and babies playing together to make your day a little bit brighter https://t.co/OSH1GOc6nu,1194377831901466625,114,2019-11-12 22:14:00,Twitter Media Studio,71,22,-1
24,"Watch as Jane Greer, a marriage therapist, breaks down this couple's body language. https://t.co/iq2HwwkvTV",1194375063698468864,107,2019-11-12 22:03:00,Twitter Media Studio,11,3,-1
25,Kristen Stewart's Rainbow Sequined Cutout Dress Was the Glitziest Thing on the 'Charlie's Angels' Red Carpet https://t.co/rFIRPAsjHG,1194373532010070016,132,2019-11-12 21:56:55,SocialFlow,28,5,0
26,Watch the New Trailer For Disney’s Live-Action 'Lady and the Tramp' https://t.co/JWVLUQJAFJ,1194368155205984256,91,2019-11-12 21:35:33,SocialFlow,75,18,1
