,tweets,id,len,date,source,likes,retweets,sentiment
0,"Inside the launch of 'Fashion in L.A.,' a lush tome profiling 41 L.A.-based designers. https://t.co/WafyctduRw",1194478276661710849,110,2019-11-13 04:53:08,SocialFlow,11,4,1
1,"The bride approached her wedding look from the top down, basing everything around her family's tiara from the 1800s. https://t.co/BbJwAsWzTb",1194472957109817344,140,2019-11-13 04:31:59,SocialFlow,24,3,1
2,"Long or cropped, boxy or belted: The season’s most stylish coats go for a walk on the wild side with @KendallJenner. https://t.co/m1jsBamDsr",1194467276969435136,140,2019-11-13 04:09:25,SocialFlow,31,5,1
3,You'll barely recognize these celebrities in their Halloween makeup. https://t.co/sLk4qowfHP,1194461770204758027,92,2019-11-13 03:47:32,SocialFlow,35,3,1
4,13 beautiful cheese boards and plates that will add some culinary style to any party. https://t.co/msb0XkHgl9,1194456342259482624,109,2019-11-13 03:25:58,SocialFlow,58,4,1
5,"The cochairs for the 2020 #MetGala on Monday, May 4, will be Nicolas Ghesquière, Lin-Manuel Miranda, Meryl Streep,… https://t.co/IO3slyBa1F",1194450852821512192,139,2019-11-13 03:04:09,SocialFlow,51,18,0
6,Bella Hadid has set her sights on a new divisive accessory to bring back from the ’90s: the fuzzy bucket hat. https://t.co/vOXR3MLlN2,1194445760340938752,133,2019-11-13 02:43:55,SocialFlow,28,3,1
7,"The golden age of the silver screen siren may be long past, but Pat McGrath is catapulting it into the future with… https://t.co/yXTgxmWRlb",1194440222462955521,139,2019-11-13 02:21:55,SocialFlow,39,6,0
8,"The bride approached her wedding look from the top down, basing everything around her family's tiara from the 1800s. https://t.co/8r7Qa89Tsk",1194434830932619266,140,2019-11-13 02:00:29,SocialFlow,39,7,1
9,"Shorts were on all the major Spring 2020 runways, from Saint Laurent to Valentino, but the trend has proven divisiv… https://t.co/wLIVna0OjB",1194429331361193984,140,2019-11-13 01:38:38,SocialFlow,38,7,1
10,The chic new advent calendars to countdown to the holidays with. https://t.co/JaL3rS01dO,1194423838462947328,88,2019-11-13 01:16:49,SocialFlow,38,2,1
