,Tweets,id,len,date,source,likes,retweets
0,"The bride approached her wedding look from the top down, basing everything around her family's tiara from the 1800s. https://t.co/BbJwAsWzTb",1194472957109817344,140,2019-11-13 04:31:59,SocialFlow,18,2
1,"Long or cropped, boxy or belted: The season’s most stylish coats go for a walk on the wild side with @KendallJenner. https://t.co/m1jsBamDsr",1194467276969435136,140,2019-11-13 04:09:25,SocialFlow,25,5
2,You'll barely recognize these celebrities in their Halloween makeup. https://t.co/sLk4qowfHP,1194461770204758027,92,2019-11-13 03:47:32,SocialFlow,33,3
3,13 beautiful cheese boards and plates that will add some culinary style to any party. https://t.co/msb0XkHgl9,1194456342259482624,109,2019-11-13 03:25:58,SocialFlow,57,4
4,"The cochairs for the 2020 #MetGala on Monday, May 4, will be Nicolas Ghesquière, Lin-Manuel Miranda, Meryl Streep,… https://t.co/IO3slyBa1F",1194450852821512192,139,2019-11-13 03:04:09,SocialFlow,50,18
5,Bella Hadid has set her sights on a new divisive accessory to bring back from the ’90s: the fuzzy bucket hat. https://t.co/vOXR3MLlN2,1194445760340938752,133,2019-11-13 02:43:55,SocialFlow,28,2
6,"The golden age of the silver screen siren may be long past, but Pat McGrath is catapulting it into the future with… https://t.co/yXTgxmWRlb",1194440222462955521,139,2019-11-13 02:21:55,SocialFlow,39,6
7,"The bride approached her wedding look from the top down, basing everything around her family's tiara from the 1800s. https://t.co/8r7Qa89Tsk",1194434830932619266,140,2019-11-13 02:00:29,SocialFlow,39,7
8,"Shorts were on all the major Spring 2020 runways, from Saint Laurent to Valentino, but the trend has proven divisiv… https://t.co/wLIVna0OjB",1194429331361193984,140,2019-11-13 01:38:38,SocialFlow,38,7
9,The chic new advent calendars to countdown to the holidays with. https://t.co/JaL3rS01dO,1194423838462947328,88,2019-11-13 01:16:49,SocialFlow,38,2
10,"Katie Holmes's minimal kicks are packed with an ethical, eco-friendly message. https://t.co/3p8LjaKKQo",1194418599554887680,102,2019-11-13 00:56:00,SocialFlow,30,5
11,"Self-care is a commitment, but this brand is making it easier to add a multivitamin to your regime. https://t.co/KU5NeCceJh",1194412792696246272,123,2019-11-13 00:32:55,SocialFlow,32,2
12,"“I feel as a mother, I just want to put my arms around her. I want to tell her to hang in there. Don’t let those ba… https://t.co/w48D19mLTY",1194407464814428160,140,2019-11-13 00:11:45,SocialFlow,166,22
13,A millennial twist on Princess Diana's iconic sporty style. https://t.co/4FnHFYIbjT,1194402223159164929,83,2019-11-12 23:50:55,SocialFlow,114,21
14,"There were too many takeaways to count at the 2019 #GlamourWOTY Awards, but that’s exactly what @GlamourMag's edito… https://t.co/hGZGM6rFAa",1194397019734974464,140,2019-11-12 23:30:14,SocialFlow,51,12
15,Looks like baby Archie may be spending Christmas stateside! https://t.co/NnoR6m472v,1194391549469249536,83,2019-11-12 23:08:30,SocialFlow,76,13
16,Would you expect anything less from Captain Jean-Luc Picard? https://t.co/zSC1uRfTOf,1194385821471825921,84,2019-11-12 22:45:45,SocialFlow,100,10
17,"It’s a bird. It’s a plane. It’s @Harry_Styles as the tender, well-dressed rockstar of today. https://t.co/wyi4N9IYTO",1194380118636019712,116,2019-11-12 22:23:05,SocialFlow,5102,931
18,Did we miss anything? https://t.co/KLdzDZw2F6,1194374589343764480,45,2019-11-12 22:01:07,SocialFlow,58,5
19,Australian photographer Simon Burstall shares a look into the '90s Sydney rave scene with his photographs. https://t.co/2nXAxz9aLu,1194370438178263040,130,2019-11-12 21:44:37,SocialFlow,48,10
20,"""I’ve been using fragrance to help me define each character I’ve played since I was 16."" https://t.co/Oxq7TvX8lO",1194365087714336768,112,2019-11-12 21:23:21,SocialFlow,120,16
